segment_name,wpm
Ks-_Mh1QhMc_seg023,230.12
Ks-_Mh1QhMc_seg024,235.29
Ks-_Mh1QhMc_seg026,208.92
Ks-_Mh1QhMc_seg027,205.01
Ks-_Mh1QhMc_seg028,226.12
Ks-_Mh1QhMc_seg029,229.98
Ks-_Mh1QhMc_seg030,219.58
Ks-_Mh1QhMc_seg031,250.58
Ks-_Mh1QhMc_seg032,189.13
Ks-_Mh1QhMc_seg033,197.21
Ks-_Mh1QhMc_seg035,212.62
ldq6wKtQzU8_seg001,72.02
ldq6wKtQzU8_seg002,79.7
ldq6wKtQzU8_seg003,75.7
ldq6wKtQzU8_seg004,78.54
ldq6wKtQzU8_seg005,82.48
ldq6wKtQzU8_seg006,67.26
ldq6wKtQzU8_seg007,82.37
ldq6wKtQzU8_seg008,91.23
ldq6wKtQzU8_seg009,91.27
ldq6wKtQzU8_seg010,71.03
ldq6wKtQzU8_seg012,69.57
nn5k4snG3rA_seg000,185.0
nn5k4snG3rA_seg001,217.77
nn5k4snG3rA_seg002,190.27
nn5k4snG3rA_seg003,198.82
nn5k4snG3rA_seg004,187.19
nn5k4snG3rA_seg005,201.89
nn5k4snG3rA_seg006,235.61
nn5k4snG3rA_seg007,184.01
nn5k4snG3rA_seg008,175.85
nn5k4snG3rA_seg009,180.64
nn5k4snG3rA_seg010,217.86
nn5k4snG3rA_seg011,212.86
nn5k4snG3rA_seg012,198.64
nn5k4snG3rA_seg013,198.05
nn5k4snG3rA_seg014,222.22
nn5k4snG3rA_seg015,187.44
nn5k4snG3rA_seg016,183.01
nn5k4snG3rA_seg017,190.13
nn5k4snG3rA_seg018,247.44
nn5k4snG3rA_seg019,217.73
nn5k4snG3rA_seg020,196.79
nn5k4snG3rA_seg021,150.14
nn5k4snG3rA_seg022,155.77
nn5k4snG3rA_seg023,182.38
nn5k4snG3rA_seg024,206.5
nn5k4snG3rA_seg025,134.88
nn5k4snG3rA_seg026,185.97
nn5k4snG3rA_seg028,193.73
nn5k4snG3rA_seg029,189.81
nn5k4snG3rA_seg030,211.39
nn5k4snG3rA_seg031,209.09
P_6vDLq64gE_seg000,192.47
P_6vDLq64gE_seg001,197.37
P_6vDLq64gE_seg002,185.34
P_6vDLq64gE_seg003,184.7
P_6vDLq64gE_seg004,166.14
P_6vDLq64gE_seg006,217.53
P_6vDLq64gE_seg007,158.82
P_6vDLq64gE_seg009,178.41
P_6vDLq64gE_seg012,189.96
P_6vDLq64gE_seg014,191.65
P_6vDLq64gE_seg015,153.7
P_6vDLq64gE_seg018,200.69
P_6vDLq64gE_seg019,190.14
P_6vDLq64gE_seg020,222.37
P_6vDLq64gE_seg022,218.0
P_6vDLq64gE_seg024,171.43
P_6vDLq64gE_seg025,223.45
P_6vDLq64gE_seg029,198.43
P_6vDLq64gE_seg030,167.23
P_6vDLq64gE_seg031,182.84
Q80MfH7xPPE_seg000,211.74
Q80MfH7xPPE_seg001,231.87
Q80MfH7xPPE_seg002,218.96
Q80MfH7xPPE_seg003,195.67
Q80MfH7xPPE_seg004,207.5
Q80MfH7xPPE_seg005,180.25
Q80MfH7xPPE_seg006,190.38
Q80MfH7xPPE_seg007,183.21
Q80MfH7xPPE_seg008,198.55
Q80MfH7xPPE_seg009,189.94
Q80MfH7xPPE_seg010,197.17
Q80MfH7xPPE_seg011,178.75
Q80MfH7xPPE_seg012,202.58
Q80MfH7xPPE_seg013,214.22
Q80MfH7xPPE_seg014,213.93
Q80MfH7xPPE_seg015,189.3
Q80MfH7xPPE_seg016,199.41
Q80MfH7xPPE_seg017,199.93
Q80MfH7xPPE_seg018,209.59
Q80MfH7xPPE_seg019,228.19
Q80MfH7xPPE_seg020,169.24
rFpDK2KhAgw_seg000,154.5
rFpDK2KhAgw_seg001,129.14
rFpDK2KhAgw_seg002,211.81
rFpDK2KhAgw_seg003,138.74
rFpDK2KhAgw_seg004,151.14
rFpDK2KhAgw_seg005,160.52
rFpDK2KhAgw_seg006,131.6
rFpDK2KhAgw_seg007,150.14
rFpDK2KhAgw_seg008,155.06
rFpDK2KhAgw_seg009,132.19
rFpDK2KhAgw_seg010,172.88
rFpDK2KhAgw_seg011,173.86
rFpDK2KhAgw_seg012,170.23
rFpDK2KhAgw_seg013,171.2
rFpDK2KhAgw_seg014,162.62
rFpDK2KhAgw_seg015,168.31
rFpDK2KhAgw_seg016,175.2
rFpDK2KhAgw_seg017,185.73
rFpDK2KhAgw_seg018,140.93
rFpDK2KhAgw_seg019,125.12
TS6lFDVR-3g_seg000,174.37
TS6lFDVR-3g_seg001,135.07
TS6lFDVR-3g_seg002,138.84
TS6lFDVR-3g_seg003,139.72
TS6lFDVR-3g_seg004,127.78
TS6lFDVR-3g_seg005,160.73
TS6lFDVR-3g_seg006,149.56
TS6lFDVR-3g_seg007,118.54
TS6lFDVR-3g_seg008,153.85
TS6lFDVR-3g_seg009,138.29
TS6lFDVR-3g_seg010,143.53
TS6lFDVR-3g_seg011,114.1
TS6lFDVR-3g_seg012,166.4
TS6lFDVR-3g_seg013,144.87
TS6lFDVR-3g_seg014,151.47
TS6lFDVR-3g_seg015,139.53
TS6lFDVR-3g_seg016,156.9
TS6lFDVR-3g_seg017,126.69
tt2xKhTHZQs_seg000,146.82
tt2xKhTHZQs_seg001,147.71
tt2xKhTHZQs_seg002,171.6
tt2xKhTHZQs_seg003,153.7
tt2xKhTHZQs_seg005,163.03
tt2xKhTHZQs_seg006,156.32
tt2xKhTHZQs_seg007,143.55
UWKvpFZJwcE_seg000,206.58
UWKvpFZJwcE_seg001,191.89
UWKvpFZJwcE_seg002,215.84
UWKvpFZJwcE_seg003,196.24
UWKvpFZJwcE_seg004,155.25
UWKvpFZJwcE_seg005,146.71
UWKvpFZJwcE_seg006,224.18
UWKvpFZJwcE_seg007,196.41
UWKvpFZJwcE_seg008,188.93
UWKvpFZJwcE_seg009,181.76
UWKvpFZJwcE_seg010,168.47
UWKvpFZJwcE_seg011,217.21
UWKvpFZJwcE_seg012,220.63
UWKvpFZJwcE_seg013,145.36
UWKvpFZJwcE_seg014,213.67
vNpmq6Ok-QQ_seg000,117.46
vNpmq6Ok-QQ_seg001,116.41
vNpmq6Ok-QQ_seg002,110.51
vNpmq6Ok-QQ_seg003,151.11
vNpmq6Ok-QQ_seg004,141.54
vNpmq6Ok-QQ_seg005,191.94
vNpmq6Ok-QQ_seg006,170.66
vNpmq6Ok-QQ_seg007,165.78
vNpmq6Ok-QQ_seg008,213.95
vNpmq6Ok-QQ_seg009,165.98
vNpmq6Ok-QQ_seg010,126.94
vNpmq6Ok-QQ_seg011,126.25
vNpmq6Ok-QQ_seg013,174.09
vNpmq6Ok-QQ_seg014,172.14
vNpmq6Ok-QQ_seg016,197.0
vNpmq6Ok-QQ_seg017,110.52
vNpmq6Ok-QQ_seg018,199.19
vNpmq6Ok-QQ_seg019,204.66
vNpmq6Ok-QQ_seg020,129.88
vNpmq6Ok-QQ_seg021,162.99
vNpmq6Ok-QQ_seg022,157.36
WyprXhvGVYk_seg001,160.03
WyprXhvGVYk_seg002,166.45
WyprXhvGVYk_seg003,166.16
WyprXhvGVYk_seg004,166.62
WyprXhvGVYk_seg006,151.97
WyprXhvGVYk_seg007,169.96
WyprXhvGVYk_seg008,143.89
WyprXhvGVYk_seg010,156.6
WyprXhvGVYk_seg013,203.32
WyprXhvGVYk_seg014,159.17
WyprXhvGVYk_seg015,151.95
WyprXhvGVYk_seg016,137.59
WyprXhvGVYk_seg017,127.27
WyprXhvGVYk_seg018,163.64
WyprXhvGVYk_seg019,143.89
XZBZ5aBEUrs_seg000,120.11
XZBZ5aBEUrs_seg001,156.67
XZBZ5aBEUrs_seg002,165.24
XZBZ5aBEUrs_seg003,134.9
XZBZ5aBEUrs_seg004,141.24
XZBZ5aBEUrs_seg005,90.62
XZBZ5aBEUrs_seg006,155.84
XZBZ5aBEUrs_seg007,146.62
XZBZ5aBEUrs_seg008,141.83
XZBZ5aBEUrs_seg009,129.69
XZBZ5aBEUrs_seg010,122.13
XZBZ5aBEUrs_seg011,102.4
XZBZ5aBEUrs_seg012,150.75
XZBZ5aBEUrs_seg013,170.7
XZBZ5aBEUrs_seg014,148.95
XZBZ5aBEUrs_seg015,134.55
XZBZ5aBEUrs_seg016,135.5
XZBZ5aBEUrs_seg017,124.61
XZBZ5aBEUrs_seg018,137.3
XZBZ5aBEUrs_seg019,154.55
XZBZ5aBEUrs_seg020,280.39
XZBZ5aBEUrs_seg021,241.98
XZBZ5aBEUrs_seg022,213.4
